Name,Status,ID,Type,Impressions,Clickthroughs,Off-site Average Order Value,Off-site Conversion,Off-site Purchase Qty,Off-site Revenue,Off-site Revenue Per Mille,On-site Average Order Value,On-site Conversion,On-site Purchase Qty,On-site Revenue,On-site Revenue Per Mille
YouGarden Referral Banner,Inactive,yougarden-referral-banner,Web,7005,7,0,0,0,0,0,0,0,0,0,0
YouGarden 3 for 2 Bulb Packs,Inactive,yougarden-3-for-2-bulb-packs,Email,173190,897,33.56,0.01,9.0,302.02,1.74,0,0,0,0,0
YG Welcome Block - RC/RV,Inactive,yg-welcome-block-rcrv,Web,13776,0,0,0,0,0,0,0,0,0,0,0
YG Welcome Block - FTV - B,Inactive,yg-welcome-block-ftv-b,Web,17743,0,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM34889A,Inactive,yg-trees-and-shrubs-em34889a,Email,6,3,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3530E,Inactive,yg-trees-and-shrubs-em3530e,Email,12835,191,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3530D,Active,yg-trees-and-shrubs-em3530d,Email,92506,420,66.95,0.0,1.0,66.95,0.72,0,0,0,0,0
YG Trees and Shrubs EM3530C,Active,yg-trees-and-shrubs-em3530c,Email,33759,186,66.75,0.0,1.0,66.75,1.98,0,0,0,0,0
YG Trees and Shrubs EM3530B,Active,yg-trees-and-shrubs-em3530b,Email,43456,465,26.23,0.01,4.0,104.91999999999999,2.41,0,0,0,0,0
YG Trees and Shrubs EM3530A,Inactive,yg-trees-and-shrubs-em3530a,Email,7380,70,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3510E,Active,yg-trees-and-shrubs-em3510e,Email,11122,121,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3510D,Active,yg-trees-and-shrubs-em3510d,Email,95343,267,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3510C,Active,yg-trees-and-shrubs-em3510c,Email,38044,175,65.96,0.0,1.0,65.96,1.73,0,0,0,0,0
YG Trees and Shrubs EM3510B,Active,yg-trees-and-shrubs-em3510b,Email,38632,350,22.85,0.01,2.0,45.7,1.18,0,0,0,0,0
YG Trees and Shrubs EM3510A,Inactive,yg-trees-and-shrubs-em3510a,Email,6412,51,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3489F,Inactive,yg-trees-and-shrubs-em3489f,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3489E,Active,yg-trees-and-shrubs-em3489e,Email,10107,109,91.72,0.01,1.0,91.72,9.07,0,0,0,0,0
YG Trees and Shrubs EM3489D,Active,yg-trees-and-shrubs-em3489d,Email,96334,368,41.98,0.0,1.0,41.98,0.44,0,0,0,0,0
YG Trees and Shrubs EM3489C,Active,yg-trees-and-shrubs-em3489c,Email,38054,109,22.93,0.0,1.0,22.93,0.6,0,0,0,0,0
YG Trees and Shrubs EM3489B,Active,yg-trees-and-shrubs-em3489b,Email,36864,343,42.97,0.0,1.0,42.97,1.17,0,0,0,0,0
YG Trees and Shrubs EM3489A,Active,yg-trees-and-shrubs-em3489a,Email,5991,41,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3489,Inactive,yg-trees-and-shrubs-em3489,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3488E,Inactive,yg-trees-and-shrubs-em3488e,Email,9274,77,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3488D,Active,yg-trees-and-shrubs-em3488d,Email,93827,292,57.96,0.0,1.0,57.96,0.62,0,0,0,0,0
YG Trees and Shrubs EM3488C,Inactive,yg-trees-and-shrubs-em3488c,Email,36318,121,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3488B,Active,yg-trees-and-shrubs-em3488b,Email,34788,215,25.98,0.01,2.0,51.95,1.49,0,0,0,0,0
YG Trees and Shrubs EM3488A,Inactive,yg-trees-and-shrubs-em3488a,Email,5615,39,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3479F,Active,yg-trees-and-shrubs-em3479f,Email,48587,182,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3479E,Inactive,yg-trees-and-shrubs-em3479e,Email,9609,104,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3479D,Active,yg-trees-and-shrubs-em3479d,Email,48327,154,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3479D,Inactive,duplicate-of-yg-trees-and-shrubs-em3479c,Email,6,6,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3479C,Inactive,yg-trees-and-shrubs-em3479c,Email,38472,174,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3479B,Active,yg-trees-and-shrubs-em3479b,Email,18007,136,21.98,0.01,1.0,21.98,1.22,0,0,0,0,0
YG Trees and Shrubs EM3479A,Inactive,yg-trees-and-shrubs-em3479a,Email,5900,38,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3479,Inactive,yg-trees-and-shrubs-em3479,Email,17972,130,29.97,0.01,2.0,59.94,3.34,0,0,0,0,0
YG Trees and Shrubs EM3478F,Inactive,yg-trees-and-shrubs-em3478f,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3478E,Inactive,yg-trees-and-shrubs-em3478e,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3478D,Inactive,yg-trees-and-shrubs-em3478d,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3478C,Inactive,yg-trees-and-shrubs-em3478c,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3478B,Inactive,yg-trees-and-shrubs-em3478b,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3478A,Inactive,yg-trees-and-shrubs-em3478a,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3478,Inactive,yg-trees-and-shrubs-em3478,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3404,Active,yg-trees-and-shrubs-em3404,Email,177951,560,10.17,0.0,1.0,10.17,0.06,0,0,0,0,0
YG Trees and Shrubs EM3403,Active,yg-trees-and-shrubs-em3403,Email,181316,987,46.46,0.0,3.0,139.39,0.77,0,0,0,0,0
YG Trees and Shrubs EM3399,Active,yg-trees-and-shrubs-em3399,Email,182570,805,31.98,0.0,4.0,127.94,0.7,0,0,0,0,0
YG Trees &amp; Shrubs EM3477E,Inactive,yg-trees-amp-shrubs-em3477e,Email,9664,147,0,0,0,0,0,0,0,0,0,0
YG Trees &amp; Shrubs EM3477D,Active,yg-trees-amp-shrubs-em3477d,Email,97888,545,0,0,0,0,0,0,0,0,0,0
YG Trees &amp; Shrubs EM3477C,Inactive,yg-trees-amp-shrubs-em3477c,Email,38727,252,31.96,0.0,1.0,31.96,0.83,0,0,0,0,0
YG Trees &amp; Shrubs EM3477B,Active,yg-trees-amp-shrubs-em3477b,Email,37194,431,45.2,0.0,1.0,45.2,1.22,0,0,0,0,0
YG Trees &amp; Shrubs EM3314,Active,yg-trees-amp-shrubs-em3314,Email,188541,1748,36.41,0.0,8.0,291.31,1.55,0,0,0,0,0
YG Trees &amp; Shrubs EM3311,Inactive,yg-trees-amp-shrubs-em3311,Email,210773,2240,29.07,0.0,9.0,261.59,1.24,0,0,0,0,0
YG Trees &amp; Shrubs EM3301,Active,yg-trees-amp-shrubs-em3301,Email,192088,1812,39.34,0.01,13.0,511.48,2.66,0,0,0,0,0
YG Trees &amp; Shrubs EM3279,Inactive,yg-trees-amp-shrubs-em3279,Email,327298,3527,28.38,0.01,20.0,567.6800000000001,1.73,0,0,0,0,0
YG Trees &amp; Shrubs (from each range) EM3462E,Active,yg-trees-amp-shrubs-from-each-range-em3462e,Email,9284,70,0,0,0,0,0,0,0,0,0,0
YG Trees &amp; Shrubs (from each range) EM3462D,Active,yg-trees-amp-shrubs-from-each-range-em3462d,Email,96482,230,0,0,0,0,0,0,0,0,0,0
YG Trees &amp; Shrubs (from each range) EM3462C,Active,yg-trees-amp-shrubs-from-each-range-em3462c,Email,37653,128,13.98,0.0,1.0,13.98,0.37,0,0,0,0,0
YG Trees &amp; Shrubs (from each range) EM3462B,Active,yg-trees-amp-shrubs-from-each-range-em3462b,Email,34192,225,26.23,0.01,2.0,52.45,1.53,0,0,0,0,0
YG Trees &amp; Shrubs (from each range) EM3462A,Inactive,yg-trees-amp-shrubs-from-each-range-em3462a,Email,6201,30,0,0,0,0,0,0,0,0,0,0
YG Trees &amp; Shrubs (from each range) EM3460E,Inactive,yg-trees-amp-shrubs-from-each-range-em3460e,Email,9550,107,27.97,0.02,2.0,55.949999999999996,5.86,0,0,0,0,0
YG Trees &amp; Shrubs (from each range) EM3460D,Inactive,yg-trees-amp-shrubs-from-each-range-em3460d,Email,99921,300,0,0,0,0,0,0,0,0,0,0
YG Trees &amp; Shrubs (from each range) EM3460C,Active,yg-trees-amp-shrubs-from-each-range-em3460c,Email,37722,115,0,0,0,0,0,0,0,0,0,0
YG Trees &amp; Shrubs (from each range) EM3460B,Active,yg-trees-amp-shrubs-from-each-range-em3460b,Email,35103,322,13.98,0.0,1.0,13.98,0.4,0,0,0,0,0
YG Trees &amp; Shrubs (from each range) EM3460A,Inactive,yg-trees-amp-shrubs-from-each-range-em3460a,Email,6391,50,0,0,0,0,0,0,0,0,0,0
YG Trees &amp; Shrubs (from each range) EM3459E,Inactive,yg-trees-amp-shrubs-from-each-range-em3459e,Email,9370,97,0,0,0,0,0,0,0,0,0,0
YG Trees &amp; Shrubs (from each range) EM3459D,Inactive,yg-trees-amp-shrubs-from-each-range-em3459d,Email,97246,233,0,0,0,0,0,0,0,0,0,0
YG Trees &amp; Shrubs (from each range) EM3459C,Inactive,yg-trees-amp-shrubs-from-each-range-em3459c,Email,37245,114,0,0,0,0,0,0,0,0,0,0
YG Trees &amp; Shrubs (from each range) EM3459B,Active,yg-trees-amp-shrubs-from-each-range-em3459b,Email,34760,260,27.96,0.01,2.0,55.92,1.61,0,0,0,0,0
YG Trees &amp; Shrubs (from each range) EM3387,Active,yg-trees-amp-shrubs-from-each-range-em3387,Email,184626,949,37.08,0.0,4.0,148.31,0.8,0,0,0,0,0
YG Trees & Shrubs (from each range) EM3459A,Inactive,yg-trees-shrubs-from-each-range-em3459a,Email,6215,33,0,0,0,0,0,0,0,0,0,0
YG Summer Flowering Bulbs EM3472E,Inactive,yg-summer-flowering-bulbs-em3472e,Email,8766,48,0,0,0,0,0,0,0,0,0,0
YG Summer Flowering Bulbs EM3472D,Active,yg-summer-flowering-bulbs-em3472d,Email,94234,283,0,0,0,0,0,0,0,0,0,0
YG Summer Flowering Bulbs EM3472C,Active,yg-summer-flowering-bulbs-em3472c,Email,36623,103,0,0,0,0,0,0,0,0,0,0
YG Summer Flowering Bulbs EM3472B,Active,yg-summer-flowering-bulbs-em3472b,Email,33327,197,44.14,0.02,5.0,220.72,6.62,0,0,0,0,0
YG Summer Flowering Bulbs EM3472A,Inactive,yg-summer-flowering-bulbs-em3472a,Email,5915,31,0,0,0,0,0,0,0,0,0,0
YG Summer Flowering Bulbs EM3470E,Inactive,yg-summer-flowering-bulbs-em3470e,Email,8746,38,0,0,0,0,0,0,0,0,0,0
YG Summer Flowering Bulbs EM3470D,Active,yg-summer-flowering-bulbs-em3470d,Email,93634,236,26.97,0.0,1.0,26.97,0.29,0,0,0,0,0
YG Summer Flowering Bulbs EM3470C,Inactive,yg-summer-flowering-bulbs-em3470c,Email,36260,82,0,0,0,0,0,0,0,0,0,0
YG Summer Flowering Bulbs EM3470B,Active,yg-summer-flowering-bulbs-em3470b,Email,33217,198,16.98,0.01,2.0,33.96,1.02,0,0,0,0,0
YG Summer Flowering Bulbs EM3470A,Inactive,yg-summer-flowering-bulbs-em3470a,Email,4393,22,0,0,0,0,0,0,0,0,0,0
YG Summer Bulbs EM3591E,Active,yg-summer-bulbs-em3591e,Email,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
YG Summer Bulbs EM3591D,Active,yg-summer-bulbs-em3591d,Email,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
YG Summer Bulbs EM3591C,Active,yg-summer-bulbs-em3591c,Email,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
YG Summer Bulbs EM3591B,Active,yg-summer-bulbs-em3591b,Email,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
YG Summer Bulbs EM3591A,Active,yg-summer-bulbs-em3591a,Email,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
YG Summer Bulbs EM3578E,Active,yg-summer-bulbs-em3578e,Email,18339,140,44.23,0.03,5.0,221.14000000000001,12.06,0,0,0,0,0
YG Summer Bulbs EM3578D,Active,yg-summer-bulbs-em3578d,Email,92374,521,0,0,0,0,0,0,0,0,0,0
YG Summer Bulbs EM3578C,Active,yg-summer-bulbs-em3578c,Email,18507,91,58.16,0.02,3.0,174.48000000000002,9.43,0,0,0,0,0
YG Summer Bulbs EM3578B,Active,yg-summer-bulbs-em3578b,Email,60384,565,27.38,0.02,13.0,355.97,5.9,0,0,0,0,0
YG Summer Bulbs EM3578A,Active,yg-summer-bulbs-em3578a,Email,12916,87,0,0,0,0,0,0,0,0,0,0
YG Summer Bulbs (from each range) EM3492E,Active,yg-summer-bulbs-from-each-range-em3492e,Email,10185,40,59.91,0.01,1.0,59.91,5.88,0,0,0,0,0
YG Summer Bulbs (from each range) EM3492D,Active,yg-summer-bulbs-from-each-range-em3492d,Email,96940,217,0,0,0,0,0,0,0,0,0,0
YG Summer Bulbs (from each range) EM3492C,Active,yg-summer-bulbs-from-each-range-em3492c,Email,38453,102,0,0,0,0,0,0,0,0,0,0
YG Summer Bulbs (from each range) EM3492B,Active,yg-summer-bulbs-from-each-range-em3492b,Email,36857,206,37.97,0.01,2.0,75.93,2.06,0,0,0,0,0
YG Summer Bulbs (from each range) EM3492A,Inactive,yg-summer-bulbs-from-each-range-em3492a,Email,4729,7,0,0,0,0,0,0,0,0,0,0
YG Summer Bulbs (from each range) EM3484F,Active,yg-summer-bulbs-from-each-range-em3484f,Email,45768,91,0,0,0,0,0,0,0,0,0,0
YG Summer Bulbs (from each range) EM3484E,Inactive,yg-summer-bulbs-from-each-range-em3484e,Email,9012,32,0,0,0,0,0,0,0,0,0,0
YG Summer Bulbs (from each range) EM3484D,Active,yg-summer-bulbs-from-each-range-em3484d,Email,46526,123,0,0,0,0,0,0,0,0,0,0
YG Summer Bulbs (from each range) EM3484C,Active,yg-summer-bulbs-from-each-range-em3484c,Email,29434,71,0,0,0,0,0,0,0,0,0,0
YG Summer Bulbs (from each range) EM3484B,Active,yg-summer-bulbs-from-each-range-em3484b,Email,10739,40,0,0,0,0,0,0,0,0,0,0
YG Summer Bulbs (from each range) EM3484A,Inactive,yg-summer-bulbs-from-each-range-em3484a,Email,5357,21,0,0,0,0,0,0,0,0,0,0
YG Summer Bulbs (from each range) EM3484,Active,yg-summer-bulbs-from-each-range-em3484,Email,10918,83,0,0,0,0,0,0,0,0,0,0
YG Summer Bulbs (from each range) EM3465E,Inactive,yg-summer-bulbs-from-each-range-em3465e,Email,9114,54,0,0,0,0,0,0,0,0,0,0
YG Summer Bulbs (from each range) EM3465D,Active,yg-summer-bulbs-from-each-range-em3465d,Email,98223,248,16.98,0.0,1.0,16.98,0.17,0,0,0,0,0
YG Summer Bulbs (from each range) EM3465C,Active,yg-summer-bulbs-from-each-range-em3465c,Email,37948,146,0,0,0,0,0,0,0,0,0,0
YG Summer Bulbs (from each range) EM3465B,Active,yg-summer-bulbs-from-each-range-em3465b,Email,35372,287,16.98,0.0,1.0,16.98,0.48,0,0,0,0,0
YG Summer Bulbs (from each range) EM3465A,Inactive,yg-summer-bulbs-from-each-range-em3465a,Email,4406,31,0,0,0,0,0,0,0,0,0,0
YG Standards- EM3575A,Active,yg-standards-em3575a,Email,11992,178,0,0,0,0,0,0,0,0,0,0
YG Standards- EM3556E,Active,yg-standards-em3556e,Email,17932,291,36.0,0.01,2.0,72.0,4.02,0,0,0,0,0
YG Standards- EM3556D,Active,yg-standards-em3556d,Email,98024,497,0,0,0,0,0,0,0,0,0,0
YG Standards- EM3556C,Active,yg-standards-em3556c,Email,26040,170,31.61,0.0,1.0,31.61,1.21,0,0,0,0,0
YG Standards- EM3556B,Active,yg-standards-em3556b,Email,53946,801,42.82,0.02,10.0,428.23,7.94,0,0,0,0,0
YG Standards- EM3556A,Active,yg-standards-em3556a,Email,10895,109,0,0,0,0,0,0,0,0,0,0
YG Standards EM3575E,Active,yg-standards-em3575e,Email,17620,368,46.98,0.01,1.0,46.98,2.67,0,0,0,0,0
YG Standards EM3575D,Active,yg-standards-em3575d,Email,92782,687,43.97,0.0,2.0,87.94999999999999,0.95,0,0,0,0,0
YG Standards EM3575C,Active,yg-standards-em3575c,Email,19344,215,0,0,0,0,0,0,0,0,0,0
YG Standards EM3575B,Active,yg-standards-em3575b,Email,57990,981,54.63,0.01,3.0,163.9,2.83,0,0,0,0,0
YG SPRING BEDDING EM3540E,Active,yg-spring-bedding-em3540e,Email,13483,209,47.48,0.02,3.0,142.43,10.56,0,0,0,0,0
YG SPRING BEDDING EM3540D,Active,yg-spring-bedding-em3540d,Email,92633,699,26.58,0.01,5.0,132.89,1.43,0,0,0,0,0
YG SPRING BEDDING EM3540C,Active,yg-spring-bedding-em3540c,Email,29196,344,32.5,0.03,8.0,260.03,8.91,0,0,0,0,0
YG SPRING BEDDING EM3540B,Active,yg-spring-bedding-em3540b,Email,44025,1179,27.54,0.05,20.0,550.8000000000001,12.51,0,0,0,0,0
YG SPRING BEDDING EM3540A,Inactive,yg-spring-bedding-em3540a,Email,8126,128,28.81,0.02,2.0,57.62,7.09,0,0,0,0,0
YG Shrubs EM3351,Active,yg-shrubs-em3351,Email,182442,1179,36.63,0.0,3.0,109.9,0.6,0,0,0,0,0
YG SALE EM3582E,Active,yg-sale-em3582e,Email,18194,393,59.29,0.02,4.0,237.15,13.03,0,0,0,0,0
YG SALE EM3582D,Active,yg-sale-em3582d,Email,89139,682,14.17,0.01,5.0,70.86,0.79,0,0,0,0,0
YG SALE EM3582C,Active,yg-sale-em3582c,Email,17237,213,19.97,0.01,1.0,19.97,1.16,0,0,0,0,0
YG SALE EM3582B,Active,yg-sale-em3582b,Email,60046,1485,19.34,0.04,22.0,425.4900000000001,7.09,0,0,0,0,0
YG SALE EM3582A,Active,yg-sale-em3582a,Email,12852,195,2.99,0.01,1.0,2.99,0.23,0,0,0,0,0
YG SALE Bedding - EM3535E,Inactive,yg-sale-bedding-em3535e,Email,13058,520,18.8,0.06,8.0,150.39,11.52,0,0,0,0,0
YG SALE Bedding - EM3535D,Active,yg-sale-bedding-em3535d,Email,94657,1248,19.75,0.02,18.0,355.46000000000004,3.76,0,0,0,0,0
YG SALE Bedding - EM3535C,Inactive,yg-sale-bedding-em3535c,Email,32535,976,24.65,0.05,15.0,369.8,11.37,0,0,0,0,0
YG SALE Bedding - EM3535B-v3,Inactive,yg-sale-bedding-em3535b-v3,Email,46186,2992,23.78,0.16,73.0,1736.1200000000006,37.59,0,0,0,0,0
YG SALE Bedding - EM3535B v2,Inactive,yg-sale-bedding-em3535b-v2,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG SALE Bedding - EM3535B,Inactive,yg-sale-bedding-em3535b,Triggered Email,1,0,0,0,0,0,0,0,0,0,0,0
YG SALE Bedding - EM3535A v3,Inactive,yg-sale-bedding-em3535a-v3,Email,7788,239,16.73,0.03,2.0,33.46,4.3,0,0,0,0,0
YG SALE Bedding - EM3535A,Inactive,yg-sale-bedding-em3535a,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG SALE 2026 - EM3506E,Active,yg-sale-2026-em3506e,Email,10046,139,49.28,0.02,2.0,98.56,9.81,0,0,0,0,0
YG SALE 2026 - EM3506D,Active,yg-sale-2026-em3506d,Email,93225,500,20.97,0.0,2.0,41.94,0.45,0,0,0,0,0
YG SALE 2026 - EM3506C,Inactive,yg-sale-2026-em3506c,Email,36244,198,41.28,0.01,3.0,123.84,3.42,0,0,0,0,0
YG SALE 2026 - EM3506B,Active,yg-sale-2026-em3506b,Email,34108,458,28.09,0.01,4.0,112.35000000000001,3.29,0,0,0,0,0
YG SALE 2026 - EM3506A,Active,yg-sale-2026-em3506a,Email,5946,60,0,0,0,0,0,0,0,0,0,0
YG SALE 2026 - EM3495E,Inactive,yg-sale-2026-em3495e,Email,10491,175,63.92,0.01,1.0,63.92,6.09,0,0,0,0,0
YG SALE 2026 - EM3495D,Inactive,yg-sale-2026-em3495d,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG SALE 2026 - EM3495C,Inactive,yg-sale-2026-em3495c,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG SALE 2026 - EM3495B,Active,yg-sale-2026-em3495b,Email,37306,612,26.61,0.01,5.0,133.06,3.57,0,0,0,0,0
YG SALE 2026 - EM3495A,Inactive,yg-sale-2026-em3495a,Email,6292,39,0,0,0,0,0,0,0,0,0,0
YG Roses SALE 2026 - EM3557E,Inactive,yg-roses-sale-2026-em3557e,Email,17436,132,15.48,0.01,2.0,30.96,1.78,0,0,0,0,0
YG Roses SALE 2026 - EM3557D,Active,yg-roses-sale-2026-em3557d,Email,96867,295,23.34,0.0,4.0,93.38,0.96,0,0,0,0,0
YG Roses SALE 2026 - EM3557C,Inactive,yg-roses-sale-2026-em3557c,Email,26096,170,30.96,0.01,2.0,61.92,2.37,0,0,0,0,0
YG Roses SALE 2026 - EM3557B,Active,yg-roses-sale-2026-em3557b,Email,54237,533,32.21,0.01,4.0,128.84,2.38,0,0,0,0,0
YG Roses SALE 2026 - EM3557A,Inactive,yg-roses-sale-2026-em3557a,Email,10633,43,0,0,0,0,0,0,0,0,0,0
YG Roses SALE 2026 - EM3548E,Inactive,yg-roses-sale-2026-em3548e,Email,16603,196,0,0,0,0,0,0,0,0,0,0
YG Roses SALE 2026 - EM3548D,Active,yg-roses-sale-2026-em3548d,Email,97943,374,39.96,0.0,1.0,39.96,0.41,0,0,0,0,0
YG Roses SALE 2026 - EM3548C,Inactive,yg-roses-sale-2026-em3548c,Email,26602,197,17.48,0.01,2.0,34.96,1.31,0,0,0,0,0
YG Roses SALE 2026 - EM3548B,Active,yg-roses-sale-2026-em3548b,Email,52236,921,20.64,0.01,3.0,61.92,1.19,0,0,0,0,0
YG Roses SALE 2026 - EM3548A,Inactive,yg-roses-sale-2026-em3548a,Email,9429,54,0,0,0,0,0,0,0,0,0,0
YG Roses SALE 2026 - EM3528E,Inactive,yg-roses-sale-2026-em3528e,Email,12265,191,26.97,0.01,1.0,26.97,2.2,0,0,0,0,0
YG Roses SALE 2026 - EM3528D,Active,yg-roses-sale-2026-em3528d,Email,90786,579,16.98,0.0,1.0,16.98,0.19,0,0,0,0,0
YG Roses SALE 2026 - EM3528C,Inactive,yg-roses-sale-2026-em3528c,Email,33223,296,54.95,0.0,1.0,54.95,1.65,0,0,0,0,0
YG Roses SALE 2026 - EM3528B,Inactive,yg-roses-sale-2026-em3528b,Email,39042,920,40.85,0.03,11.0,449.3,11.51,0,0,0,0,0
YG Roses SALE 2026 - EM3528A,Inactive,yg-roses-sale-2026-em3528a,Email,7078,115,31.3,0.04,3.0,93.9,13.27,0,0,0,0,0
YG Roses SALE 2026 - EM3515E,Inactive,yg-roses-sale-2026-em3515e,Email,11039,122,0,0,0,0,0,0,0,0,0,0
YG Roses SALE 2026 - EM3515D,Active,yg-roses-sale-2026-em3515d,Email,94388,439,31.98,0.0,1.0,31.98,0.34,0,0,0,0,0
YG Roses SALE 2026 - EM3515C,Inactive,yg-roses-sale-2026-em3515c,Email,36005,242,23.57,0.01,5.0,117.83000000000001,3.27,0,0,0,0,0
YG Roses SALE 2026 - EM3515B,Inactive,yg-roses-sale-2026-em3515b,Email,35941,525,32.93,0.03,9.0,296.41,8.25,0,0,0,0,0
YG Roses SALE 2026 - EM3515A,Inactive,yg-roses-sale-2026-em3515a,Email,6068,45,0,0,0,0,0,0,0,0,0,0
YG Roses SALE 2026 - EM3512A,Inactive,yg-roses-sale-2026-em3512a,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG Roses SALE 2026 - EM3504E v2,Inactive,yg-roses-sale-2026-em3504e-v2,Email,10478,110,0,0,0,0,0,0,0,0,0,0
YG Roses SALE 2026 - EM3504E,Inactive,yg-roses-sale-2026-em3504e,Email,2,0,0,0,0,0,0,0,0,0,0,0
YG Roses SALE 2026 - EM3504D v2,Active,yg-roses-sale-2026-em3504d-v2,Email,94978,481,0,0,0,0,0,0,0,0,0,0
YG Roses SALE 2026 - EM3504D,Inactive,yg-roses-sale-2026-em3504d,Email,4,0,0,0,0,0,0,0,0,0,0,0
YG Roses SALE 2026 - EM3504C v2,Inactive,yg-roses-sale-2026-em3504c-v2,Email,37318,208,27.65,0.01,3.0,82.95,2.22,0,0,0,0,0
YG Roses SALE 2026 - EM3504C,Inactive,yg-roses-sale-2026-em3504c,Email,3,0,0,0,0,0,0,0,0,0,0,0
YG Roses SALE 2026 - EM3504B v2,Inactive,yg-roses-sale-2026-em3504b-v2,Email,34708,574,24.66,0.04,14.0,345.2,9.95,0,0,0,0,0
YG Roses SALE 2026 - EM3504B,Inactive,yg-roses-sale-2026-em3504b,Email,2,0,0,0,0,0,0,0,0,0,0,0
YG Roses SALE 2026 - EM3504A v2,Inactive,yg-roses-sale-2026-em3504a-v2,Email,6010,49,0,0,0,0,0,0,0,0,0,0
YG Roses SALE 2026 - EM3504A,Inactive,yg-roses-sale-2026-em3504a,Email,23,0,0,0,0,0,0,0,0,0,0,0
YG ROSES EM3540E,Inactive,yg-roses-em3540e,Email,13319,159,0,0,0,0,0,0,0,0,0,0
YG ROSES EM3540D,Active,yg-roses-em3540d,Email,93533,505,54.96,0.0,1.0,54.96,0.59,0,0,0,0,0
YG ROSES EM3540C,Active,yg-roses-em3540c,Email,30708,194,20.68,0.01,2.0,41.35,1.35,0,0,0,0,0
YG ROSES EM3540B,Active,yg-roses-em3540b,Email,44882,809,30.86,0.02,7.0,216.03,4.81,0,0,0,0,0
YG ROSES EM3540A,Inactive,yg-roses-em3540a,Email,7901,79,0,0,0,0,0,0,0,0,0,0
YG Roses EM3486E,Inactive,yg-roses-em3486e,Email,9401,75,0,0,0,0,0,0,0,0,0,0
YG Roses EM3486D,Active,yg-roses-em3486d,Email,95100,283,0,0,0,0,0,0,0,0,0,0
YG Roses EM3486C,Active,yg-roses-em3486c,Email,37599,143,0,0,0,0,0,0,0,0,0,0
YG Roses EM3486B,Active,yg-roses-em3486b,Email,34806,412,52.7,0.01,4.0,210.81,6.06,0,0,0,0,0
YG Roses EM3486A,Inactive,yg-roses-em3486a,Email,5797,44,0,0,0,0,0,0,0,0,0,0
YG Roses EM3401,Active,yg-roses-em3401,Email,181996,1002,37.26,0.0,4.0,149.05,0.82,0,0,0,0,0
YG Roses EM3321,Active,yg-bedding-em3321,Email,189391,2194,42.49,0.0,9.0,382.37,2.02,0,0,0,0,0
YG Preplanted hanging baskets EM3298,Active,yg-preplanted-hanging-baskets-em3298,Email,186674,1150,32.89,0.0,9.0,296.03,1.59,0,0,0,0,0
YG Preplanted hanging baskets EM3284,Inactive,yg-preplanted-hanging-baskets-em3284,Email,10,3,0,0,0,0,0,0,0,0,0,0
