Name,Status,ID,Type,Impressions,Clickthroughs,Off-site Average Order Value,Off-site Conversion,Off-site Purchase Qty,Off-site Revenue,Off-site Revenue Per Mille,On-site Average Order Value,On-site Conversion,On-site Purchase Qty,On-site Revenue,On-site Revenue Per Mille
YG Bare Root SALE 2026 - EM3563E,Active,yg-bare-root-sale-2026-em3563e,Email,17228,109,68.95,0.01,1.0,68.95,4.0,0,0,0,0,0
YG Bare Root SALE 2026 - EM3563D,Active,yg-bare-root-sale-2026-em3563d,Email,94853,410,71.97,0.0,1.0,71.97,0.76,0,0,0,0,0
YG Bare Root SALE 2026 - EM3563C,Inactive,yg-bare-root-sale-2026-em3563c,Email,23147,72,0,0,0,0,0,0,0,0,0,0
YG Bare Root SALE 2026 - EM3563B,Active,yg-bare-root-sale-2026-em3563b,Email,56260,515,44.61,0.01,6.0,267.65,4.76,0,0,0,0,0
YG Bare Root SALE 2026 - EM3563A,Inactive,yg-bare-root-sale-2026-em3563a,Email,10802,52,0,0,0,0,0,0,0,0,0,0
YG Bare Root Fruit Trees (from each range) EM3396,Active,yg-bare-root-fruit-trees-from-each-range-em3396,Email,179939,1015,44.61,0.0,4.0,178.44,0.99,0,0,0,0,0
YG Autumn Planting Bulbs EM3363,Active,yg-autumn-planting-bulbs-em3363,Email,178754,939,35.46,0.0,5.0,177.32,0.99,0,0,0,0,0
YG Autumn Planting Bulbs EM3333,Inactive,yg-autumn-planting-bulbs-em3333,Email,6,0,0,0,0,0,0,0,0,0,0,0
YG Autumn Planting Bulbs EM3326,Inactive,yg-autumn-planting-bulbs-em3326,Email,186851,2508,36.77,0.01,10.0,367.68999999999994,1.97,0,0,0,0,0
YG Autumn Planting Bulbs EM3315,Inactive,yg-autumn-planting-bulbs-em3315,Email,129472,1122,29.17,0.0,2.0,58.34,0.45,0,0,0,0,0
YG Autumn Planting Bulbs EM3302,Inactive,yg-autumn-planting-bulbs-em3302,Email,189637,2331,34.46,0.01,16.0,551.4100000000001,2.91,0,0,0,0,0
YG Autumn Bedding EM3374,Active,yg-autumn-bedding-em3374,Email,178773,822,21.98,0.0,2.0,43.95,0.25,0,0,0,0,0
YG Autumn Bedding EM3358,Active,yg-autumn-bedding-em3358,Email,187135,1221,37.29,0.01,13.0,484.77,2.59,0,0,0,0,0
YG 2026 Summer Bulbs - EM3497E,Inactive,yg-2026-summer-bulbs-em3497e,Email,10124,87,0,0,0,0,0,0,0,0,0,0
YG 2026 Summer Bulbs - EM3497D,Active,yg-2026-summer-bulbs-em3497d,Email,95316,344,39.16,0.0,2.0,78.32000000000001,0.82,0,0,0,0,0
YG 2026 Summer Bulbs - EM3497C,Inactive,yg-2026-summer-bulbs-em3497c,Email,37782,184,93.17,0.01,2.0,186.34,4.93,0,0,0,0,0
YG 2026 Summer Bulbs - EM3497B,Active,yg-2026-summer-bulbs-em3497b,Email,35541,256,26.55,0.01,5.0,132.76,3.74,0,0,0,0,0
YG 2026 Summer Bulbs - EM3497A,Active,yg-2026-summer-bulbs-em3497a,Email,6012,53,26.97,0.02,1.0,26.97,4.49,0,0,0,0,0
YG 2026 SALE EM3478F,Active,yg-2026-sale-em3478f,Email,49017,283,76.95,0.0,1.0,76.95,1.57,0,0,0,0,0
YG 2026 SALE EM3478BE NEW,Inactive,yg-2026-sale-em3478be-new,Email,9400,129,0,0,0,0,0,0,0,0,0,0
YG 2026 SALE EM3478BD NEW,Active,yg-2026-sale-em3478bd-new,Email,48334,328,21.96,0.0,1.0,21.96,0.45,0,0,0,0,0
YG 2026 SALE EM3478BC NEW,Inactive,yg-2026-sale-em3478bc-new,Email,37849,321,41.93,0.01,3.0,125.80000000000001,3.32,0,0,0,0,0
YG 2026 SALE EM3478B NEW,Inactive,yg-2026-sale-em3478b-new,Email,18286,310,11.98,0.01,1.0,11.98,0.66,0,0,0,0,0
YG 2026 SALE EM3478A NEW,Inactive,yg-2026-sale-em3478a-new,Email,6077,61,61.93,0.02,1.0,61.93,10.19,0,0,0,0,0
YG 2026 SALE EM3478,Active,yg-2026-sale-em3478,Email,17663,219,30.95,0.01,2.0,61.89,3.5,0,0,0,0,0
YG 2026 SALE EM3475E v2,Inactive,yg-2026-sale-em3475e-v2,Email,7133,54,0,0,0,0,0,0,0,0,0,0
YG 2026 SALE EM3475E,Inactive,yg-2026-sale-em3475e,Email,8,3,0,0,0,0,0,0,0,0,0,0
YG 2026 SALE EM3475D v2,Active,yg-2026-sale-em3475d-v2,Email,70463,437,0,0,0,0,0,0,0,0,0,0
YG 2026 SALE EM3475D,Inactive,yg-2026-sale-em3475d,Email,4,3,0,0,0,0,0,0,0,0,0,0
YG 2026 SALE EM3475C v2,Active,yg-2026-sale-em3475c-v2,Email,29064,164,52.93,0.0,1.0,52.93,1.82,0,0,0,0,0
YG 2026 SALE EM3475C,Inactive,yg-2026-sale-em3475c,Email,6,2,0,0,0,0,0,0,0,0,0,0
YG 2026 SALE EM3475B v2,Active,yg-2026-sale-em3475b-v2,Email,26522,282,36.97,0.0,1.0,36.97,1.39,0,0,0,0,0
YG 2026 SALE EM3475B,Inactive,yg-2026-sale-em3475b,Email,7,5,0,0,0,0,0,0,0,0,0,0
YG 2026 SALE EM3475A v2,Inactive,yg-2026-sale-em3475a-v2,Email,4312,42,65.94,0.02,1.0,65.94,15.29,0,0,0,0,0
YG 2026 SALE EM3475A,Inactive,yg-2026-sale-em3475a,Email,7,5,0,0,0,0,0,0,0,0,0,0
YG 2026 SALE EM3473E - new design,Inactive,yg-2026-sale-em3473e-new-design,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG 2026 SALE EM3473E,Inactive,yg-2026-sale-em3473e,Email,9076,214,37.53,0.01,1.0,37.53,4.14,0,0,0,0,0
YG 2026 SALE EM3473D,Active,yg-2026-sale-em3473d,Email,96474,802,30.62,0.01,6.0,183.74,1.9,0,0,0,0,0
YG 2026 SALE EM3473C,Active,yg-2026-sale-em3473c,Email,36989,342,32.97,0.01,3.0,98.9,2.67,0,0,0,0,0
YG 2026 SALE EM3473B,Active,yg-2026-sale-em3473b,Email,17298,378,27.16,0.05,8.0,217.31,12.56,0,0,0,0,0
YG 2026 SALE EM3473A,Inactive,yg-2026-sale-em3473a,Email,6072,71,0,0,0,0,0,0,0,0,0,0
YG 2026 SALE EM3473,Active,yg-2026-sale-em3473,Email,17457,340,64.78,0.03,5.0,323.89,18.55,0,0,0,0,0
YG 2026 Most Popular - EM3571E,Active,yg-2026-most-popular-em3571e,Email,18611,288,67.28,0.02,3.0,201.82999999999998,10.84,0,0,0,0,0
YG 2026 Most Popular - EM3571D,Active,yg-2026-most-popular-em3571d,Email,95069,698,0,0,0,0,0,0,0,0,0,0
YG 2026 Most Popular - EM3571C,Active,yg-2026-most-popular-em3571c,Email,21979,169,30.52,0.0,1.0,30.52,1.39,0,0,0,0,0
YG 2026 Most Popular - EM3571B,Active,yg-2026-most-popular-em3571b,Email,60419,1050,45.74,0.02,13.0,594.6299999999999,9.84,0,0,0,0,0
YG 2026 Most Popular - EM3571A,Active,yg-2026-most-popular-em3571a,Email,12219,163,0,0,0,0,0,0,0,0,0,0
YG 2026 Most Popular - EM3566E,Active,yg-2026-most-popular-em3566e,Email,18673,328,41.85,0.02,4.0,167.41,8.97,0,0,0,0,0
YG 2026 Most Popular - EM3566D,Active,yg-2026-most-popular-em3566d,Email,94417,650,9.99,0.0,1.0,9.99,0.11,0,0,0,0,0
YG 2026 Most Popular - EM3566C,Active,yg-2026-most-popular-em3566c,Email,22391,128,21.98,0.0,1.0,21.98,0.98,0,0,0,0,0
YG 2026 Most Popular - EM3566B,Active,yg-2026-most-popular-em3566b,Email,58024,909,39.36,0.02,13.0,511.73999999999995,8.82,0,0,0,0,0
YG 2026 Most Popular - EM3566A,Active,yg-2026-most-popular-em3566a,Email,10628,135,21.98,0.01,1.0,21.98,2.07,0,0,0,0,0
YG 2026 Most Popular - EM3562E,Active,yg-2026-most-popular-em3562e,Email,18568,309,37.62,0.01,1.0,37.62,2.03,0,0,0,0,0
YG 2026 Most Popular - EM3562D,Active,yg-2026-most-popular-em3562d,Email,97586,668,40.07,0.01,6.0,240.44,2.46,0,0,0,0,0
YG 2026 Most Popular - EM3562C,Active,yg-2026-most-popular-em3562c,Email,24811,224,40.71,0.02,4.0,162.85000000000002,6.56,0,0,0,0,0
YG 2026 Most Popular - EM3562B,Active,yg-2026-most-popular-em3562b,Email,62416,1150,54.64,0.03,18.0,983.46,15.76,0,0,0,0,0
YG 2026 Most Popular - EM3562A,Active,yg-2026-most-popular-em3562a,Email,11013,142,25.98,0.02,2.0,51.95,4.72,0,0,0,0,0
YG 2026 Most Popular - EM3559E,Active,yg-2026-most-popular-em3559e,Email,18107,334,66.0,0.01,2.0,132.01,7.29,0,0,0,0,0
YG 2026 Most Popular - EM3559D,Active,yg-2026-most-popular-em3559d,Email,101716,768,47.59,0.01,6.0,285.55,2.81,0,0,0,0,0
YG 2026 Most Popular - EM3559C,Active,yg-2026-most-popular-em3559c,Email,25794,215,45.46,0.02,4.0,181.84,7.05,0,0,0,0,0
YG 2026 Most Popular - EM3559B,Active,yg-2026-most-popular-em3559b,Email,57688,1018,31.98,0.03,18.0,575.6099999999999,9.98,0,0,0,0,0
YG 2026 Most Popular - EM3559A,Active,yg-2026-most-popular-em3559a,Email,11251,184,53.61,0.03,3.0,160.83999999999997,14.3,0,0,0,0,0
YG 2026 Most Popular - EM3555E,Active,yg-2026-most-popular-em3555e,Email,17983,318,28.65,0.02,3.0,85.94,4.78,0,0,0,0,0
YG 2026 Most Popular - EM3555D,Active,yg-2026-most-popular-em3555d,Email,99413,459,32.29,0.0,3.0,96.88,0.97,0,0,0,0,0
YG 2026 Most Popular - EM3555C,Active,yg-2026-most-popular-em3555c,Email,27003,277,30.37,0.02,5.0,151.85999999999999,5.62,0,0,0,0,0
YG 2026 Most Popular - EM3555B,Active,yg-2026-most-popular-em3555b,Email,58026,1054,30.72,0.02,9.0,276.45,4.76,0,0,0,0,0
YG 2026 Most Popular - EM3555A,Active,yg-2026-most-popular-em3555a,Email,10177,148,25.98,0.02,2.0,51.96,5.11,0,0,0,0,0
YG 2026 Most Popular - EM3550E v2,Active,yg-2026-most-popular-em3550e-v2,Email,17386,306,76.57,0.02,4.0,306.28999999999996,17.62,0,0,0,0,0
YG 2026 Most Popular - EM3550E,Inactive,yg-2026-most-popular-em3550e,Email,1,0,0,0,0,0,0,0,0,0,0,0
